Product code,Title as it should appear on a thumbnail,Description as it should appear once you click on product,Features of the bag,Price,Image code,la fin
TB17001BK,Monochromatic Kalamkari ,A black and white kalamkari bag with a little yellow detailing that will pair well with any outfit. ,"You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin
TB17002AB,Ajrakh Delight,"This beautiful bag in red, blue and black ","You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin
TB17003AB,Ajrakh Squares,,"You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin
TB17004BP,Pochampally Blues,,"You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin
TB17005GK,Flower Garden,,"You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin
TB17006GI,Green and Ikat,,"You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin
TB17007IB,Flock of Birds,,"You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin
TB17008YG,Yellow and Ajrakh,,"You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin
TB17009II,"Indigo, Indigo",,"You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin
TB17010GK,Spring in Persia,,"You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin
TB17011PD,Dabble in Dabu,,"You’ll want to know that it:
has a strong lining
has a pocket on the inside
has a base of width 3 inches
comfortably holds 4-5 kgs of weight
has dimensions of 15"" x 18""",550,,la fin